ABANY,ABDEFECT,ABFELEGL,ABHELP1,ABHELP2,ABHELP3,ABHELP4,ABHLTH,ABINSPAY,ABMEDGOV1,ABMEDGOV2,ABMELEGL,ABMORAL,ABNOMORE,ABPOOR,ABPOORW,ABRAPE,ABSINGLE,ABSTATE1,ABSTATE2,ACQNTSEX,ACTSSOC,ADMINCONSENT,ADULTS,ADVFRONT,AFFRMACT,AFRAIDOF,AFTERLIF,AGED,ANCESTRS,ARTHRTIS,ASTROLGY,ASTROSCI,ATHEISTS,ATTEND,ATTEND12,ATTENDMA,ATTENDPA,BABIES,BACKPAIN,BALNEG,BALPOS,BEFAIR,BETRLANG,BIBLE,BIGBANG,BIGBANG2,BIRD,BIRDB4,BORN,BOYORGRL,BREAKDWN,BUDDHSTS,BUYESOP,BUYVALUE,CANTRUST,CAPPUN,CAT,CATB4,CHARACTR,CHEMGEN,CHILDS,CHLDIDEL,CHRISTNS,CHURHPOW,CLASS,CLERGVTE,CLOSETO1,CLOSETO2,CLOSETO3,CLOSETO4,CLOSETO5,CNTCTFAM,CNTCTFRD,CNTCTKID,CNTCTPAR,CNTCTSIB,CODEG,CODEN,COEDUC,COEVWORK,COFUND,COHRS1,COHRS2,COLATH,COLCOM,COLDEG1,COLHOMO,COLMIL,COLMSLM,COLRAC,COLSCI,COLSCINM,COMFORT,COMPANY,COMPPERF,COMPREND,COMPUSE,COMPWAGE,CONARMY,CONBIZ,CONBUS,CONCHURH,CONCLERG,CONCONG,CONCOURT,CONDEMND,CONDOM,CONDRIFT,CONEDUC,CONF2F,CONFED,CONFINAN,CONINC,CONJUDGE,CONLABOR,CONLEGIS,CONMEDIC,CONPRESS,CONRINC,CONSCHLS,CONSCI,CONTV,CONWKDAY,COOP,COOTHER,COREL,COURTS,COWRKHLP,COWRKINT,COWRKSLF,COWRKSTA,CRACK30,DANGOTH1,DANGOTH2,DANGOTH3,DANGOTH4,DANGOTH5,DANGROTH,DANGRSLF,DANGSLF1,DANGSLF2,DANGSLF3,DANGSLF4,DANGSLF5,DECMONEY,DECTREAT,DEFPENSN,DEGREE,DEMANDS,DENOM,DENOM16,DEPRESS,DEPTPERF,DIABETES,DIAGNOSD,DIFREL,DINEFRDS,DIPGED,DISCAFF,DISCAFFM,DISCAFFW,DISRSPCT,DIVLAW,DIVORCE,DOFIRST,DOG,DOGB4,DWELLING,DWELLPRE,DWELOWN,DWELOWN16,EARNRS,EARTHSUN,EDUC,EGOMEANS,ELECTRON,EMAILMIN,EMOPROBS,EMPINPUT,EMPTRAIN,ENDSMEET,EQWLTH,ESOP,ESOPNOT,ETHNUM,EVCRACK,EVIDU,EVOLVED,EVOLVED2,EVPAIDSX,EVSTRAY,EVWORK,EXPDESGN,EXPTEXT,EXTR2017,EXTRAPAY,EXTRAYR,FAIR,FAIREARN,FAMDIF16,FAMGEN,FAMILY16,FAMMHNEG,FAMPRESS,FAMVSWK,FAMWKOFF,FATALISM,FATIGUE,FEAR,FECHLD,FEELEVEL,FEELREL,FEEUSED,FEFAM,FEHIRE,FEJOBAFF,FEPOL,FEPRESCH,FINALTER,FINRELA,FIRSTYOU,FISH,FISHB4,FRINGEOK,FRNDSEX,FUCITZN,FUND,FUND16,GENDER11,GENDER2,GENDER3,GENDER4,GENDER5,GENDER6,GENDER7,GENDER8,GENDER9,GENEABRT2,GENEGEN,GENEGOO2,GENESELF2,GENETICS,GENETST1,GETAHEAD,GOAT,GOD,GODCHNGE,GODMEANS,GODSWILL,GOODLIFE,GOVEQINC,GOVLAZY,GOVVSREL,GRANBORN,GRASS,GUNLAW,HANDMOVE,HAPCOHAB,HAPMAR,HAPPY,HAPUNHAP,HAVEINFO,HEALTH,HEALTH1,HEALTHISSP,HEAVEN,HEFINFO,HEIGHT,HELL,HELPBLK,HELPFRDS,HELPFUL,HELPNOT,HELPOTH,HELPPOOR,HELPSICK,HHRACE,HHTYPE1,HINDUS,HISPANIC,HIVTEST,HIVTEST2,HLPADVCE,HLPDOWN,HLPEQUIP,HLPHOME,HLPJOB,HLPLOAN,HLPPAPER,HLPRESDE,HLPSICK,HLPSICKR,HLPSOCOC,HLTHDAYS,HLTHMNTL,HLTHPHYS,HLTHSTRT,HOMOSEX,HOMOSEX1,HOMPOP,HORSE,HORSEB4,HOTCORE,HRS2,HRSRELAX,HSBIO,HSCHEM,HSMATH,HSPHYS,HUADDWHY,HUBBYWRK,HUCLEAN,HUNT,HUNT1,HURTATWK,HURTOTH,HURTSELF,HVYLIFT,HYPERTEN,IDU30,IF12WHO,IF16WHO,IMBALNCE,IMPRVOWN,IMPRVTRT,INCGAP,INCOM16,INCOME,INCOME16,INCUSPOP,INDPERF,INDUSGEN,INTCNTCT,INTECON,INTEDUC,INTENVIR,INTETHN,INTFARM,INTHISP,INTINTL,INTLBLKS,INTLHSPS,INTLWHTS,INTMED,INTMIL,INTRACE1,INTRACE2,INTRACE3,INTSCI,INTSPACE,INTTECH,INTYRS,Jew,Jew16,JEWS,JOBFIND,JOBFIND1,JOBLOSE,JOBSECOK,KIDPARS,KIDSINHH,KIDSSOL,KNOWSCHD,KNOWWHAT,KNWBUS,KNWCLENR,KNWCOP,KNWCUTTR,KNWEXEC,KNWHRMAN,KNWLAWYR,KNWMCHNC,KNWMW1,KNWMW2,KNWMW3,KNWMW4,KNWMW5,KNWNURSE,KNWTCHER,LAIDOFF,LASERS,LEARNNEW,LETDIE1,LETIN1A,LIBATH,LIBCOM,LIBHOMO,LIBMIL,LIBMSLM,LIBRAC,LIFE,LIFEIN5,LIFENOW,LIVEBLKS,LOCALNUM,LONELY1,LONELY2,LONELY3,MADEG,MAEDUC,MAKEFRND,MALEORNT,MANVSEMP,MAR1,MAR11,MAR12,MAR2,MAR3,MAR4,MAR5,MAR6,MAR7,MAR8,MAR9,MARAsian,MARBLK,MARCOHAB,MARELKID,MARHISP,MARHOMO,MARITAL,MARTYPE,MARWHT,MATESEX,MAWRKGRW,MAWRKSLF,MCSDS1,MCSDS2,MCSDS3,MCSDS4,MCSDS5,MCSDS6,MCSDS7,MEDDOC,MENTLDOC,MENTLHOS,MENTLILL,MENTLOTH,MEOVRWRK,mhdiagno,MHP1R1,MHP1R2,MHP2R1,MHP2R2,MHP3R1,MHP4R1,MHP4R2,MHP5R1,MHTREAT1,MHTREAT2,MHTREAT3,MHTREAT4,MHTREAT5,MHTREATD,MHUNSURE,MIRACLES,MISSWORK,MNTHSUSA,MNTLHLTH,MOBILE16,MODE,MOREDAYS,MUSLIMS,MUSTDOC,MUSTHOSP,MUSTMED,MUSTWORK,MYGOALS,MYPROBS1,MYPROBS2,MYPROBS3,MYPROBS4,MYPROBS5,MYSKILLS,MYWAYGOD,NANOBEN,NANOHARM,NANOWILL,NATACCESS,NATACTIVE,NATAID,NATAIDY,NATARMS,NATARMSY,NATCHLD,NATCITY,NATCITYY,NATCRIME,NATCRIMY,NATDRUG,NATDRUGY,NATEDUC,NATEDUCY,NATENRGY,NATENVIR,NATENVIY,NATFARE,NATFAREY,NATHEAL,NATHEALY,NATLACK,NATMASS,NATMEET,NATNOTICE,NATPARK,NATRACE,NATRACEY,NATRELAX,NATROAD,NATSAT,NATSCI,NATSOC,NATSPAC,NATSPACY,NATTIME,NATTIMEOK,NATVIEWS,NEISAFE,NEWFRDS,NEWS,NEWSFROM,NEXTGEN,NIHILISM,NOTSMART,NUKEGEN,NUMEMPS,NUMLANGS,NUMPETS,OBEY,ODDS1,ODDS2,OLD10,OLD11,OLD12,OLD5,OLD6,OLD7,OLD8,OLD9,OPDEVEL,OTCMED,OTHERSEX,OTHLANG,OTHMHNEG,OTHPET,OTHPETB4,OVERWORK,OWNGUN,OWNSTOCK,PADEG,PAEDUC,PAINARMS,PARBORN,PARELKID,PARSOL,PARTFULL,PARTLSC,PARTNERS,PARTNRS5,PARTPART,PARTTEAM,PARTVOL,PARTYID,PAWRKSLF,PETB4,PETB4CMFRT,PETB4FAM,PETB4PLY,PETCMFRT,PETFAM,PETPLAY,PHONE,PHYEFFRT,PHYSACTS,PHYSHLTH,PHYSILL,PIG,PIKUPSEX,PILINGUP,PILLOK,PISTOL,POLABUSE,POLATTAK,POLEFF11,POLESCAP,POLHITOK,POLMURDR,POLVIEWS,POORSERV,POPESPKS,POPULAR,PORNLAW,POSSLQ,POSSLQY,POSTLIFE,PRAY,PRAYER,PRAYFREQ,PREMARSX,PRES12,PRES16,PRETEEN,PRODCTIV,PROMTEFR,PROMTEOK,PROUDEMP,PRVDHLTH,PRVDOLD,QUALLIFE,RACDIF1,RACDIF2,RACDIF3,RACDIF4,RACE,RACECEN1,RACECEN2,RACECEN3,RACLIVE,RACOPEN,RACWORK,RADIOACT,RANDOM,RANK,RATEPAIN,RATETONE,REALINC,REALRINC,REBORN,REG16,REGION,RELACTIV,RELATE10,RELATE11,RELATE12,RELATE2,RELATE3,RELATE4,RELATE5,RELATE6,RELATE7,RELATE8,RELATE9,RELATSEX,RELEXT1,RELEXT3,RELGENBAR,RELGENEQ,RELHH10,RELHH11,RELHH12,RELHH2,RELHH3,RELHH4,RELHH5,RELHH6,RELHH7,RELHH8,RELHH9,RELHHD10,RELHHD11,RELHHD12,RELHHD2,RELHHD3,RELHHD4,RELHHD5,RELHHD6,RELHHD7,RELHHD8,RELHHD9,RELIG,RELIG16,RELIGCON,RELIGINT,RELIGKID,RELITEN,RELMARRY,RELOBJCT,RELPAST,RELPERSN,RELRLVNT,RELSCRPT,RELSP1,RELSP10,RELSP11,RELSP12,RELSP3,RELSP4,RELSP5,RELSP6,RELSP7,RELSP8,RELSP9,RELSPRT,REPTILE,REPTILEB4,RES16,RESPECT,RESPNUM,RESPOND,RGROOMED,RHLTHEND,RICHWORK,RIFLE,RINCBLLS,RINCOM16,RINCOME,RLOOKS,ROWNGUN,RPLACE,RWEIGHT,RXMED,SAFEFRST,SAFEHLTH,SAFETYWK,SATFAM7,SATFIN,SATJOB,SATJOB1,SATLIFE,SATSOC,SAVESOUL,SCIBNFTS,SCIENTBE,SCIENTGO,SCIENTHE,SCIENTOD,SCIFROM,SCINEWS1,SCINEWS2,SCINEWS3,SCISTUDY,SCITEXT,SECONDWK,SEEKSCI,SEETALK1,SEETALK2,SEETALK3,SEETALK4,SEETALK5,SELFHELP,SERIOUSP,SEVERE1,SEVERE2,SEVERE3,SEVERE4,SEVERE5,SEXBIRTH,SEXEDUC,SEXFREQ,SEXNOW,SEXORNT,SEXSEX,SEXSEX5,SHOTGUN,SIBS,SLFMANGD,SLPPRBLM,SMALLGAP,SMAMMAL,SMAMMALB4,SOCBAR,SOCFREND,SOCOMMUN,SOCREL,SOLARREV,SPANINT,SPANKING,SPANSELF,SPDEG,SPDEN,SPEDUC,SPEVWORK,SPFUND,SPHEALER,SPHRS2,SPJew,SPKATH,SPKCOM,SPKHOMO,SPKLANG,SPKMIL,SPKMSLM,SPKRAC,SPOTHER,SPREL,SPRTPRSN,SPVTRFAIR,SPWKSUP,SPWRKSLF,SPWRKSTA,SRCBELT,STOCKOPS,STRESS,STRESS12,STRESSES,STRREDPG,SUICIDE1,SUICIDE2,SUICIDE3,SUICIDE4,SUPCARES,SUPERVIS,SUPHELP,TAX,TEAMSAFE,TEENS,TEENSEX,TEMPGEN,THEISM,THNKSELF,THREATEN,TLKCLRGY,TLKFAM,TOOFAST,TOOFEWWK,TRBIGBUS,TRCOURTS,TRDUNION,TRUST,TRUSTMAN,TRUSTSCI,TRYNEWJB,TVHOURS,UNEMP,UNHAPPY,UNION,UNION1,UNRELAT,UPSDOWNS,UPSET,USCITZN,USEDUP,USEWWW,USWARY,VETYEARS,VIGFRND,VIGGRP,VIGLABEL,VIGMAR,VIGNEI,VIGSOC,VIGWORK,VIRUSES,VISITORS,VISNHIST,VISSCI,VISTHOLY,VISZOO,VOTE12,VOTE16,WATERGEN,WAYPAID,WAYRAISE,WEALTH,WEBMOB,WHERE1,WHERE11,WHERE2,WHERE3,WHERE4,WHERE5,WHOELSE1,WHOELSE2,WHOELSE3,WHOELSE4,WHOELSE5,WHOELSE6,WHYNOPET,WHYWKHME,WIDOWED,WKAGEISM,WKDECIDE,WKFREEDM,WKHAROTH,WKHARSEX,WKPRAISE,WKRACISM,WKSEXISM,WKSMOOTH,WKSUB,WKSUB1,WKSUBS,WKSUBS1,WKSUP,WKSUP1,WKSUPS,WKSUPS1,WKVSFAM,WLTHBLKS,WLTHHSPS,WLTHWHTS,WORDA,WORDB,WORDC,WORDD,WORDE,WORDF,WORDG,WORDH,WORDI,WORDJ,WORDSUM,WORKBLKS,WORKDIFF,WORKFAST,WORKFOR1,WORKHARD,WORKHSPS,WORKWHTS,WRKGOVT,WRKHOME,WRKSCHED,WRKSLF,WRKSLFFAM,WRKSTAT,WRKTIME,WRKTYPE,WRKWAYUP,WTSS,WTSSALL,WWWMIN,XMARSEX,XMARSEX1,XMOVIE,XNORCSIZ,ZODIAC
2,1,NA,1,1,1,1,1,1,2,NA,3,1,2,2,1,1,2,3,2,NA,2,2,5,1,4,6,1,NA,4,2,2,3,4,5,8,8,3,0,2,2,NA,NA,1,1,2,NA,NA,NA,1,1,NA,3,2,NA,NA,1,NA,NA,NA,1,0,2,1,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,1,4,4,4,4,2,NA,2,3,2,1,1,1,NA,3,NA,3,NA,3,4,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,70,18,2,2,2,NA,4,NA,1,2,3,NA,3,2,NA,NA,NA,NA,2,2,2,1,1,1,14,4,1,0,2,2,1,NA,NA,NA,5,3,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2018,NA,2,NA,1,1,NA,NA,3,3,5,2,1,1,75,2,1,3,NA,4,1,4,1,2,NA,NA,NA,2,NA,NA,2,1,NA,2,1,1,1,NA,NA,NA,NA,2,3,1,2,NA,2,1,NA,6,3,4,NA,NA,NA,NA,1,0,NA,1,2,NA,NA,2,2,2,2,3,3,1,4,73,1,NA,NA,NA,NA,NA,NA,NA,5,8,3,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,NA,1,1,5,NA,NA,1,41,3,1,1,6,2,NA,3,NA,4,4,0,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,1,NA,1,2,1,1,2,NA,2,4,4,4,1,2,NA,NA,NA,1,2,2,23,NA,NA,4,1,1,4,2,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,3,2,2,2,2,2,2,2,9,7,3,1,NA,NA,NA,1,12,4,3,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,3,4,3,1,3,5,5,NA,3,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,20,3,2,8,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,2,2,NA,1,NA,NA,3,NA,3,NA,2,1,NA,1,NA,1,NA,1,NA,1,2,NA,2,NA,1,NA,NA,2,NA,NA,3,1,NA,NA,1,NA,2,1,3,NA,NA,NA,NA,1,NA,4,3,1,5,6,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,2,2,5,1,12,2,0,1,NA,1,NA,NA,NA,NA,2,NA,5,2,NA,NA,NA,NA,NA,NA,NA,6,5,1,0,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,4,NA,1,3,2,9,4,2,2,0,3,2,2,1,NA,NA,3,2,2,2,1,1,1,NA,NA,2,1,1,2,2,4,1,NA,NA,NA,1,2,1,4,NA,NA,NA,8,8,8,8,NA,NA,NA,NA,NA,4,3,4,3,NA,NA,NA,3,16,16,16,NA,NA,NA,NA,NA,NA,NA,3,16,16,16,NA,NA,NA,NA,11,1,2,1,1,1,3,1,5,1,1,1,2,NA,NA,NA,16,16,16,NA,NA,NA,NA,1,NA,NA,3,1,4,1,NA,NA,1,2,1,NA,NA,NA,NA,8,NA,NA,1,1,1,3,3,1,2,NA,3,1,3,2,1,2,2,3,NA,NA,3,3,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,4,2,2,NA,NA,NA,4,3,7,5,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,1,1,NA,NA,1,1,NA,NA,NA,4,2,1,NA,NA,2,1,1,1,1,2,2,2,1,1,0,2,1,1,NA,6,NA,NA,3,1,NA,NA,NA,NA,3,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,NA,1,NA,2,2,2,2,2,2,2,2,2,1,1,3,3,1,1,4,4,3,4,5,4,1,1,1,1,1,1,0,1,1,1,9,6,1,1,1,NA,2,4,2,2,1,2,NA,3,4,5,1,2.3574927741331,2.3574927741331,0,1,1,NA,6,6
1,1,3,2,2,2,2,1,2,NA,1,NA,3,1,2,NA,1,1,2,3,NA,3,2,2,NA,NA,6,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,0,NA,NA,NA,4,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,2,NA,NA,2,NA,3,NA,NA,NA,2,NA,5,1,NA,NA,NA,6,3,1,9,6,NA,NA,NA,NA,NA,NA,NA,5,4,NA,4,5,5,5,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,2,NA,1,2,1,1,22782.5,1,1,1,1,1,NA,NA,NA,1,2,1,NA,NA,2,NA,NA,NA,NA,NA,1,10,NA,NA,NA,1,1,1,10,NA,NA,NA,3,1,NA,1,2,NA,NA,NA,NA,NA,2,NA,8,2,3,NA,NA,6,NA,NA,1,NA,NA,2,2,NA,NA,1,NA,10,NA,NA,NA,2,NA,NA,3,7,NA,NA,1,2,2,NA,NA,2,2,1,NA,NA,NA,NA,NA,1,NA,NA,2,1,2,1,NA,NA,NA,1,2,NA,25,NA,1,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,2,3,1,NA,6,NA,NA,2,2,5,2,NA,4,2,1,NA,NA,NA,1,NA,NA,1,NA,2,NA,1,NA,NA,1,2,1,3,2,3,3,1,3,NA,1,2,NA,1,1,NA,1,7,4,4,7,1,1,1,NA,2,2,2,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,NA,3,1,NA,NA,NA,NA,NA,3,1,4,3,1,12,16,2,NA,NA,5,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,4,4,4,4,4,4,3,4,1,2,NA,NA,NA,4,4,NA,NA,NA,NA,NA,2,2,2,2,2,2,1,NA,NA,NA,NA,1,1,1,0,8,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,4,NA,NA,NA,1,2,1,2,1,2,2,2,2,1,1,2,3,1,NA,1,1,NA,4,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,NA,NA,NA,NA,3,1,NA,NA,1,1,1,NA,1,8,10,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,3,NA,1,2,NA,2,NA,1,NA,1,NA,1,2,NA,1,NA,1,NA,2,3,2,1,1,2,NA,2,1,2,1,1,1,NA,2,1,1,1,1,NA,NA,NA,NA,NA,6,NA,NA,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,NA,NA,NA,2,NA,0,0,NA,1,NA,1,NA,3,0,1,5,NA,5,2,2,2,NA,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,NA,1,NA,2,2,2,4,1,2,1,NA,6,1,5,2,NA,3,1,2,NA,NA,NA,1,2,0,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,1,7,1,14755,NA,2,2,1,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,1,3,NA,NA,2,NA,NA,NA,3,NA,1,2,1,NA,NA,NA,NA,2,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,NA,NA,NA,1,1,10,10,NA,NA,NA,1,NA,0,1,3,NA,1,2,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,2,1,1,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,1,6,1,1,NA,NA,7,7,NA,1,NA,NA,NA,NA,2,1,1,1,0,1,1,NA,NA,NA,NA,0,1,1,1,1,2,2,1,NA,0,NA,NA,NA,NA,1,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,2,NA,5,NA,NA,NA,0.94299710965324,0.94299710965324,NA,1,NA,2,6,11
2,1,NA,2,2,2,1,1,2,NA,1,3,1,2,2,NA,2,2,NA,3,NA,1,1,2,NA,NA,3,NA,2,NA,NA,NA,NA,NA,8,NA,NA,NA,0,NA,NA,NA,3,NA,2,NA,NA,0,NA,1,NA,4,NA,NA,NA,2,2,0,NA,3,NA,0,NA,NA,NA,4,NA,3,1,10,NA,NA,7,2,9,9,4,NA,NA,NA,NA,NA,NA,NA,5,5,NA,4,5,5,5,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,2,NA,2,4,2,1,158201.84123,1,2,3,1,3,NA,NA,1,3,4,1,NA,NA,2,NA,NA,NA,NA,NA,5,5,1,NA,NA,1,1,NA,NA,5,NA,NA,1,1,NA,4,3,NA,NA,NA,NA,NA,2,NA,4,1,3,NA,NA,5,NA,NA,3,0,NA,2,2,NA,NA,1,NA,18,NA,NA,NA,2,NA,NA,5,6,NA,NA,2,2,2,NA,NA,2,2,1,NA,NA,NA,NA,NA,2,NA,NA,1,1,4,1,NA,NA,NA,1,2,NA,75,NA,1,NA,NA,NA,NA,NA,3,5,1,0,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,4,2,1,0,6,NA,NA,4,2,4,2,NA,2,2,1,NA,NA,NA,2,NA,NA,1,NA,1,NA,1,NA,NA,5,2,1,1,2,4,3,1,8,NA,1,2,NA,7,7,NA,6,5,6,5,NA,7,1,3,NA,2,1,2,4,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,4,4,NA,NA,NA,NA,NA,NA,2,4,4,2,NA,26,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,1,1,4,NA,NA,4,4,2,4,2,2,2,4,2,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,NA,NA,NA,NA,2,1,1,1,12,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5,3,NA,NA,NA,1,2,1,1,2,2,1,1,2,1,2,2,3,2,NA,1,8,NA,10,NA,10,NA,NA,NA,3,3,2,NA,NA,NA,3,NA,NA,NA,NA,3,2,NA,NA,2,2,2,NA,2,1,1,5,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,1,2,NA,2,NA,1,NA,1,NA,2,1,NA,1,NA,2,NA,1,4,1,1,1,1,NA,3,1,1,1,1,2,NA,1,1,1,1,1,2,NA,NA,NA,NA,6,NA,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,4,0,NA,NA,1,NA,1,12,NA,2,NA,1,NA,5,0,0,5,NA,3,6,2,1,NA,NA,NA,4,4,3,3,NA,1,NA,4,0,NA,1,NA,1,2,1,4,1,1,2,7,6,2,5,2,NA,4,1,2,NA,NA,NA,2,2,0,NA,NA,NA,NA,1,5,2,NA,NA,NA,NA,2,2,1,NA,1,2,NA,NA,NA,5,0,NA,119879.41732,NA,2,2,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,1,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,NA,NA,2,2,10,10,5,NA,NA,2,NA,0,2,3,NA,NA,1,3,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,3,5,2,NA,NA,NA,8,8,NA,1,NA,NA,NA,NA,2,1,4,4,NA,2,1,NA,NA,NA,NA,3,1,2,NA,2,2,1,2,NA,0,NA,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,2,NA,5,NA,NA,NA,0.94299710965324,0.94299710965324,NA,1,NA,2,6,4
